COVID-19 Vaccinations in the United States
Date generated: Sat Jun 26 2021 18:43:51 GMT-0700 (Pacific Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4396060,N/A,N/A,4056097,N/A,3923147,N/A,2348266,N/A,2264274,N/A,1759430,N/A,1711076,N/A,2366910,1842400,186300,450,148645,1679474,2226991,987,679745,933958,145727,0,679654,885786,145636,0,1613703,N/A,2264274,N/A,0,1565440,0,2348266,181790,0,134277,0,48200,80228,5849,0,324585,0,0,2345788,0,1759318,0,679722,933886,145710,0,4053523,0,0
Delaware,1277095,131150,165815,1021702,104923,972199,126228,561963,57.7,535214,69.5,473684,48.6,454208,59,690495,520800,65800,0,43881,409068,568325,428,179663,250650,43171,200,179568,231302,43138,200,430513,57.7,535214,69.5,44.2,411070,53.4,561963,175585,92.9,155335,82.2,64171,82710,8334,120,331177,175313,676048,561810,66.9,473654,56.4,179659,250632,43163,200,1021522,121638,152070
Florida,24829675,115607,143958,20761897,96667,20116479,116632,11415412,53.1,11030292,64,9634607,44.9,9384367,54.4,13113555,10021620,1694500,0,993086,8430470,11291270,47071,3725080,4917581,976700,15246,3724081,4669501,975564,15221,8657907,53.1,11030292,64,40.3,8408803,48.8,11415412,4030768,89.6,3504217,77.9,1741567,1576825,175344,10481,7825167,173996,552097,11408028,61,9633198,51.5,3724489,4917452,976011,15246,20753779,111006,132807
Federated States of Micronesia,78800,76030,97614,49710,47963,49677,61538,29566,28.5,29533,36.6,24664,23.8,24651,30.5,0,68600,10200,0,4585,45125,0,0,20053,44,4567,0,20049,44,4558,0,20097,28.5,29533,36.6,19.4,20093,24.9,29566,2450,14,2180,12.4,1730,5,445,0,4172,23757,448722,29555,33.4,24658,27.9,20052,44,4562,0,49698,56150,89030
Georgia,11159855,105109,137546,8222816,77446,7947091,97948,4514292,42.5,4335813,53.4,3763848,35.4,3664322,45.2,5840055,4720600,599200,0,214912,3532991,4474167,746,1585963,1965434,212003,448,1585499,1866673,211720,430,3551845,42.5,4335813,53.4,33.5,3452602,42.6,4514292,1222023,80.6,1067425,70.4,594327,446414,26485,199,2359850,155565,735675,4512691,50.2,3763574,41.9,1585920,1965292,211914,448,8221089,91466,124163
Guam,215770,130164,167116,186329,112403,172953,133954,100966,60.9,93079,72.1,88481,53.4,82994,64.3,122070,74200,19500,0,4285,69709,112335,0,32477,51763,4241,0,32468,46286,4240,0,84240,60.9,93079,72.1,50.8,78754,61,100966,15031,53.5,13938,49.6,5988,7652,298,0,28859,102749,768220,100956,71.3,88477,62.5,32476,51760,4241,0,186315,131614,152421
Hawaii,1939650,136993,173803,1673899,118224,1588083,142301,982861,69.4,925330,82.9,729014,51.5,699388,62.7,1092390,765560,81700,0,35866,588105,956166,93762,254235,420394,36303,18082,253676,391479,36168,18065,692711,69.4,925330,82.9,48.9,663220,59.4,982861,267443,99.6,223798,83.4,93764,120512,8112,1410,483171,179987,722542,979213,80.9,727680,60.1,254188,419149,36272,18071,1669643,137861,160155
Iowa,3450545,109365,142101,3014810,95554,2886352,118867,1614496,51.2,1543061,63.5,1498564,47.5,1442634,59.4,1821885,1439960,188700,0,124479,1285151,1605052,128,622127,754321,122027,89,622000,698576,121969,89,1376537,51.2,1543061,63.5,43.6,1320665,54.4,1614496,488477,88.3,470693,85.1,250938,208446,11250,59,953705,172475,624020,1614435,60.3,1498543,56,622121,754308,122025,89,3014781,112648,128931
Idaho,1666430,93250,124466,1311705,73400,1311307,97942,702858,39.3,701921,52.4,636399,35.6,635899,47.5,862290,704040,100100,0,49826,567618,693369,892,263089,323358,49672,280,263074,322891,49655,279,586727,39.3,701921,52.4,32.8,586244,43.8,702858,233904,80.5,220971,76,103007,108721,9122,121,452735,155756,573306,702828,47,636382,42.6,263086,323353,49663,280,1311680,87714,111437
Indian Health Svc,1754565,84240,N/A,1437466,69016,1357930,N/A,798491,38.3,751434,N/A,656252,31.5,623851,N/A,752115,921900,74700,5850,25359,770116,641991,0,341458,289616,25178,0,341229,257483,25139,0,631074,38.3,751434,N/A,30.3,598712,0,798491,149544,0,125619,0,71769,51234,2616,0,275581,0,0,798172,0,656116,0,341389,289563,25164,0,1436993,0,0
Illinois,14646155,115581,148632,12754766,100655,12038114,122165,7456769,58.8,7006516,71.1,5706028,45,5431901,55.1,8015475,5779980,850700,0,449784,5039422,7255415,10145,2153681,3100006,448952,3389,2147867,2833952,446717,3365,5257076,58.8,7006516,71.1,41.5,4985184,50.6,7456769,1832299,89.7,1501659,73.5,692043,742494,65303,1819,3289804,161010,716813,7433322,68.6,5693957,52.5,2153638,3088004,448926,3389,12719000,117358,135139
Indiana,6677690,99190,129306,5540588,82300,5322082,103056,2979554,44.3,2854258,55.3,2658789,39.5,2570342,49.8,3591510,2658680,427500,0,193585,2197614,3133084,16305,1027076,1436051,190332,5330,1026892,1347938,190200,5312,2468457,44.3,2854258,55.3,36.7,2380142,46.1,2979554,892794,82.2,856939,78.9,427328,403298,23439,2874,1762611,162341,615034,2979305,52.2,2658708,46.6,1027065,1435997,190316,5330,5540326,97113,117049
Kansas,3075785,105577,138983,2463231,84551,2374709,107304,1423647,48.9,1366262,61.7,1206474,41.4,1168682,52.8,1552785,1349500,173500,0,81548,1086284,1294697,702,510008,614860,81351,255,509828,577319,81286,249,1125123,48.9,1366262,61.7,38.6,1087396,49.1,1423647,435450,91.6,374811,78.8,182527,177802,14341,141,779565,163951,646870,1423537,58.1,1206453,49.2,510001,614852,81345,255,2463120,100466,125455
Kentucky,4450955,99626,128462,3952218,88463,3808094,109908,2197623,49.2,2111953,61,1911229,42.8,1852703,53.5,2236455,1948000,266500,0,163031,1732177,2056495,515,799434,951696,159542,557,799288,893411,159453,551,1751687,49.2,2111953,61,39.2,1693250,48.9,2197623,643681,85.8,584777,77.9,267212,283683,33547,335,1182805,157589,593015,2197299,57.7,1911183,50.2,799424,951681,159522,556,3951179,103810,116941
Louisiana,4046840,87051,113638,3308966,71179,3234722,90833,1758564,37.8,1714264,48.1,1588216,34.2,1558887,43.8,2024880,1783860,238100,0,121920,1520962,1664927,1157,702836,768756,116059,565,702573,739790,115963,561,1472157,37.8,1714264,48.1,31.7,1442924,40.5,1758564,578145,78,550289,74.3,264857,266756,18552,124,1134688,153125,546116,1758432,44.8,1588173,40.5,702824,768741,116043,565,3308817,84337,103148
Massachusetts,9720330,141028,175467,8757305,127056,8240947,148762,4826462,70,4532813,81.8,4184415,60.7,3960207,71.5,5384730,3890900,444700,0,287460,3515913,4953732,200,1615323,2280930,288103,59,1610276,2062905,286978,48,3896312,70,4532813,81.8,56.5,3673229,66.3,4826462,1123335,96.1,1003090,85.8,457539,481580,63952,19,2062314,176367,831272,4811131,80,4174708,69.4,1615315,2271237,288097,59,8732077,145130,161555
Maryland,8436270,139542,179076,6738385,111458,6348069,134750,3686966,61,3468215,73.6,3300609,54.6,3131099,66.5,4674150,3322720,439400,0,259318,2645672,3827026,6369,1246017,1801003,251747,1842,1245741,1631931,251621,1806,3048862,61,3468215,73.6,50.4,2879478,61.1,3686966,866791,90.3,811472,84.6,394101,368354,48430,587,1623104,169180,879331,3686583,71.4,3300479,63.9,1245986,1800930,251721,1842,6738064,130510,163402
Maine,1851690,137753,169047,1598972,118952,1520108,138776,888624,66.1,845667,77.2,815293,60.7,779972,71.2,953550,795040,103100,0,104099,680517,813968,388,326185,386471,102538,99,326136,351255,102489,92,712755,66.1,845667,77.2,53,677483,61.8,888624,270023,94.7,256735,90,117895,117466,21342,32,504713,176928,649112,888534,75,815268,68.8,326181,386467,102521,99,1598877,134934,156269
Marshall Islands,51300,87823,112755,32470,55587,32389,71189,17790,30.5,17730,39,15329,26.2,15301,33.6,0,40500,10800,0,689,31781,0,0,14629,11,689,0,14605,9,687,0,14640,30.5,17730,39,25.1,14614,32.1,17790,1061,10.7,899,9.1,862,0,37,0,1923,19430,518339,17771,35.6,15321,30.7,14621,11,689,0,32443,65037,102839
Michigan,11584370,115996,147705,9353199,93655,8934840,113922,5113554,51.2,4878037,62.2,4650218,46.6,4466009,56.9,6070350,4862220,651800,0,322125,3854774,5174933,1367,1847012,2475080,327430,696,1846521,2291558,327246,684,4322788,51.2,4878037,62.2,43.3,4138763,52.8,5113554,1493116,84.6,1414954,80.1,711084,642783,60637,450,2822875,159900,656189,5113250,59.5,4650138,54.1,1846992,2475033,327418,695,9352860,108817,134780
Minnesota,6512270,115473,150174,5801910,102877,5472861,126205,3196664,56.7,3016210,69.6,2866834,50.8,2719191,62.7,3561090,2601880,349300,0,255262,2287051,3259101,496,1074612,1535366,256697,159,1072698,1390096,256247,150,2610137,56.7,3016210,69.6,46.3,2462944,56.8,3196664,840016,91.3,785686,85.4,332157,409167,44324,38,1570447,170630,707562,3186326,66.7,2859826,59.9,1074600,1528388,256679,159,5784348,121060,136294
Missouri,6113705,99613,128255,5058855,82426,4874840,102266,2733436,44.5,2628975,55.2,2364135,38.5,2291511,48.1,3297645,2504660,311400,0,167085,1932080,2959247,443,882651,1313831,167566,87,882417,1241593,167421,80,2196569,44.5,2628975,55.2,35.8,2124090,44.6,2733436,850515,80.1,771605,72.7,353827,385747,31992,39,1629542,153436,575658,2733124,52.2,2364095,45.2,882642,1313813,167553,87,5058537,96616,116769
Northern Mariana Islands,72330,127158,163258,54802,96343,50991,115093,29135,51.2,26773,60.4,26075,45.8,24623,55.6,49530,20200,2600,0,384,7813,46605,0,3724,21961,390,0,3724,20509,390,0,25685,51.2,26773,60.4,45.2,24233,54.7,29135,2703,28,2599,27,430,2110,59,0,5242,54389,750467,29135,60,26075,53.7,3724,21961,390,0,54802,112817,148901
Mississippi,2659815,89371,116783,1887336,63415,1851616,81298,1067486,35.9,1044125,45.8,872807,29.3,859930,37.8,1317615,1177600,164600,0,55726,876555,954087,968,396542,421386,54838,41,396401,408698,54790,41,817969,35.9,1044125,45.8,27.5,805140,35.4,1067486,370593,76.1,325902,67,172798,138995,14095,14,677664,139238,546508,1067406,42.3,872785,34.6,396535,421378,54831,41,1887254,74849,105489
Montana,1109635,103823,132070,928789,86902,895139,106540,507587,47.5,488164,58.1,448871,42,434942,51.8,546975,493060,69600,0,36958,418947,472330,554,194916,217779,35980,196,194838,203950,35958,196,412891,47.5,488164,58.1,38.6,398984,47.5,507587,169708,82.2,157009,76.1,75961,73275,7671,102,319720,154875,537517,507494,55.3,448844,48.9,194902,217770,35976,196,928666,101206,120928
North Carolina,11660050,111174,142415,8597378,81973,8259654,100883,4722212,45,4523560,55.3,4094985,39,3955526,48.3,6202950,4810600,646500,0,299888,3456576,4840575,339,1578238,2219636,297070,41,1575706,2083877,295902,41,3797915,45,4523560,55.3,36.2,3659624,44.7,4722212,1388920,79.3,1278428,73,605540,639830,33031,27,2681111,153111,665872,4714252,52.5,4090694,45.5,1578147,2215454,297052,41,8585129,95544,129765
North Dakota,713330,93605,122588,639763,83952,619462,106457,333061,43.7,321976,55.3,294390,38.6,286674,49.3,363090,313740,36500,0,28147,274337,337279,0,122539,146677,25173,1,122356,139264,25053,1,269217,43.7,321976,55.3,35.3,261621,45,333061,99646,83.1,88891,74.2,44026,41448,3417,0,193344,161328,595210,332512,52.2,294107,46.2,122534,146402,25170,1,638860,100253,111940
Nebraska,2087340,107906,143132,1848033,95535,1764387,120986,993413,51.4,945277,64.8,910708,47.1,875013,60,1152060,827180,108100,0,66036,738475,1040080,3442,352072,491331,66301,1004,351952,455829,66253,979,844407,51.4,945277,64.8,43.7,808760,55.5,993413,274945,88,263549,84.3,129639,127927,5314,669,543539,173956,668039,993200,61.4,910649,56.3,352052,491307,66286,1004,1847765,114242,129055
New Hampshire,1823180,134086,165075,1508338,110931,1431344,129597,840501,61.8,798743,72.3,750783,55.2,718508,65.1,968760,737720,116700,0,56473,641781,810063,21,312132,380950,57675,26,311895,348944,57643,26,693108,61.8,798743,72.3,51,660865,59.8,840501,233698,92.1,213728,84.2,93973,106669,13070,16,420206,165524,718172,840084,70.1,750596,62.6,312033,380870,57667,26,1507750,125796,152113
New Jersey,11528195,129790,166026,9724314,109481,9214964,132711,5539266,62.4,5245999,75.6,4817349,54.2,4597066,66.2,6188715,4733180,606300,0,366478,3969479,5388328,29,1869432,2576694,371173,50,1869074,2356972,370979,41,4446176,62.4,5245999,75.6,50.1,4226087,60.9,5539266,1316113,89.2,1197035,81.1,564280,555508,77226,21,2385607,161677,781289,5538632,72.7,4817232,63.2,1869409,2576648,371125,50,9723676,127635,151321
New Mexico,2362715,112680,145757,2331421,111188,2207658,136192,1290829,61.6,1216678,75.1,1120116,53.4,1065039,65.7,1194375,1029840,138500,0,80243,1021919,1225703,3556,463137,577097,78828,1054,462826,522452,78710,1051,1041288,61.6,1216678,75.1,49.7,986329,60.8,1290829,348137,92.2,314232,83.2,145319,151127,17186,600,642471,170143,625709,1290646,72.2,1120064,62.7,463121,577071,78818,1054,2331227,130423,132185
Nevada,3065440,99522,128394,2724941,88468,2626861,110025,1505491,48.9,1446259,60.6,1266044,41.1,1229320,51.5,1649700,1231440,184300,0,121764,1083913,1519251,13,493640,652637,119757,10,493565,616024,119721,10,1146287,48.9,1446259,60.6,37.2,1109599,46.5,1505491,403818,81.4,359742,72.5,172154,166904,20679,5,762008,153639,618067,1505421,57.4,1266016,48.3,493637,652614,119755,10,2724904,103932,116921
New York State,23897255,122843,154923,21537500,110712,20610403,133615,11585130,59.6,11059139,71.7,10329090,53.1,9925939,64.3,12834315,9809040,1253900,0,935675,8659061,11937778,4986,3990853,5452042,885141,1054,3989665,5050603,884650,1021,9443949,59.6,11059139,71.7,48.5,9041289,58.6,11585130,2817055,85.5,2586514,78.5,1245809,1184133,156033,539,5343174,162104,725006,11583894,69.1,10328613,61.6,3990713,5451820,885040,1040,21535880,128394,142473
Ohio,12373095,105852,135803,10599433,90678,10168388,111605,5612381,48,5373537,59,5162989,44.2,4975106,54.6,6545175,5172420,655500,0,426079,4365802,5794853,12699,2038212,2709771,411146,3860,2037900,2522402,410991,3813,4751843,48,5373537,59,40.7,4564115,50.1,5612381,1709594,83.5,1627126,79.5,746039,801772,77285,2030,3331158,162788,604651,5612133,56.1,5162931,51.6,2038203,2709739,411129,3860,10599200,105985,123722
Oklahoma,4011060,101367,133491,3237952,81829,3133945,104300,1763187,44.6,1701478,56.6,1499550,37.9,1458610,48.5,2029560,1759200,222300,0,95577,1451006,1691302,67,650885,754526,94104,35,650696,713831,94049,34,1405446,44.6,1701478,56.6,35.5,1364561,45.4,1763187,533152,83.9,472735,74.4,243695,212775,16253,12,1000516,157529,631532,1763038,53,1499506,45.1,650870,754506,94095,35,3237777,97370,120625
Oregon,5630125,133487,168005,4491080,106481,4252474,126895,2455929,58.2,2320034,69.2,2207481,52.3,2103995,62.8,2997345,2322580,310200,0,170391,1792881,2525159,2649,847815,1190713,168412,541,845194,1090564,167711,526,2039069,58.2,2320034,69.2,48.3,1936284,57.8,2455929,659662,86.1,623415,81.4,285563,293981,43604,267,1235046,161216,734927,2448630,67.1,2202774,60.4,847810,1186014,168410,540,4478909,122785,154344
Pennsylvania,15602965,121879,153461,13794966,107756,13205547,129882,7994189,62.4,7635704,75.1,6295700,49.2,6067992,59.7,7909785,6632480,1060700,0,530157,5734144,7530241,424,2489004,3273163,533215,318,2487571,3047202,532918,301,5762485,62.4,7635704,75.1,45,5535074,54.4,7994189,2419241,99.9,1947007,81.4,922406,950764,73680,157,4321921,180579,651927,7991532,72.1,6294706,56.8,2488882,3272331,533175,318,13791359,124454,140802
Puerto Rico,4166910,130473,158984,3157897,98879,2989195,114049,1837759,57.5,1728599,66,1441231,45.1,1378630,52.6,2166450,1810460,190000,0,95453,1318057,1744080,307,571929,773733,95541,28,571697,711492,95413,28,1345690,57.5,1728599,66,42.1,1283217,49,1837759,463136,85.3,391230,72.1,184959,190628,15640,3,834158,153641,767489,1836870,64.5,1441048,50.6,571899,773616,95505,28,3156862,110833,146295
Rhode Island,1509315,142474,176556,1264054,119322,1199204,140280,680492,64.2,644965,75.4,615250,58.1,586921,68.7,834795,612920,61600,0,46502,502250,715239,63,236321,332500,46417,12,236273,304237,46400,11,568833,64.2,644965,75.4,53.7,540521,63.2,680492,178094,95.2,168208,89.9,77152,85319,5732,5,342555,183139,806922,680384,73.4,615224,66.3,236317,332479,46416,12,1263969,136278,162731
Republic of Palau,24600,137376,176382,24813,138566,24813,177909,14164,79.1,14163,99.9,12788,71.4,12788,91.7,0,20800,3800,0,1934,22878,1,0,10830,26,1932,0,10830,26,1932,0,10856,79.1,14163,99.9,60.6,10856,77.8,14164,1689,55.7,1637,54,1430,9,198,0,3082,101582,810811,14164,92.6,12788,83.6,10830,26,1932,0,24813,162261,160868
South Carolina,5280175,102553,130777,4125477,80126,3996293,98979,2255884,43.8,2179149,54,1944555,37.8,1891674,46.9,2687295,2279580,313300,0,144830,1679171,2300391,1085,750378,1052199,141759,219,748695,1001510,141250,219,1802796,43.8,2179149,54,35,1750424,43.4,2255884,791090,84.4,706582,75.4,300981,381309,24142,150,1480860,158039,563505,2251363,50.9,1942138,43.9,750297,1049904,141718,219,4118480,93179,119462
South Dakota,957565,108241,143443,814624,92083,784300,117488,444917,50.3,426336,63.9,398355,45,386681,57.9,466245,431920,59400,0,25427,358425,430759,13,171813,200926,25602,14,171768,189310,25589,14,372753,50.3,426336,63.9,42.1,361092,54.1,444917,138449,91.2,129995,85.6,67107,59235,3646,7,260929,171810,630512,444891,60.3,398344,54,171811,200918,25601,14,814600,110364,129734
Tennessee,6299240,92240,118426,5216022,76379,5070603,95328,2821575,41.3,2733713,51.4,2383674,34.9,2328237,43.8,3304080,2627360,367800,0,158380,2143311,2902634,11697,948826,1277912,153467,3469,948529,1222938,153312,3458,2230207,41.3,2733713,51.4,32.7,2174925,40.9,2821575,894232,78.2,800067,70,403318,367537,27085,2127,1730832,151377,550925,2821063,48.3,2383561,40.8,948811,1277849,153432,3469,5215430,89373,107946
Texas,31798045,109664,147240,25394826,87581,24149779,111825,13855461,47.8,13134978,60.8,11740883,40.5,11153158,51.6,17078685,12824760,1894600,0,987796,10463872,13942306,852,4678053,6097899,964272,659,4443879,5792650,916002,626,10780772,47.8,13134978,60.8,37.2,10353854,47.9,13855461,3111937,83.3,2766153,74.1,1102149,1436665,227182,155,5902058,158053,851529,13851305,57.5,11738536,48.7,4677118,6096680,964079,659,25389822,105347,131936
